ds,yhat,yhat_lower,yhat_upper
2018-03-25,212.50579306204278,144.49063834502115,274.5576776216307
2018-04-01,224.1180641633687,158.4498402360675,293.3597331366826
2018-04-08,230.54707142240812,165.17275844582434,295.83223487564044
2018-04-15,233.42819689662002,166.04531808114592,292.917786754065
2018-04-22,239.4911125598041,176.4931379192427,309.9280912052489
2018-04-29,250.73669756082708,183.35847103953546,317.04716143709413
2018-05-06,260.9867804358528,198.808267055096,325.9631289123464
2018-05-13,262.23507829180465,194.21692761936558,324.8935915487586
2018-05-20,252.993659715454,188.22252482651135,317.9527586990628
2018-05-27,239.06091692556842,167.2391913139218,302.2453205834315
2018-06-03,226.3471044072365,162.74936406507427,288.9916647771477
2018-06-10,214.48423723741027,149.78261676298607,276.32629080118903
2018-06-17,198.5098638144307,130.4933252228714,261.0901750043425
2018-06-24,176.1540156689316,110.23690534846786,238.0169220277213
2018-07-01,151.87058417022706,88.18695785703031,214.7899417804996
2018-07-08,132.93635090817565,69.51359920093736,198.63228945716895
2018-07-15,122.31368142284539,52.679417314906345,187.1586798300491
2018-07-22,116.47815954050346,55.37500107854975,183.1134429322156
2018-07-29,110.37289862617862,41.34526035092019,176.02120222827344
2018-08-05,103.51696959996079,41.54233683709354,165.48968191702278
2018-08-12,100.37598275133118,35.764592454867746,167.07982998607943
2018-08-19,104.88955718062059,40.65579986302074,174.2756427875746
2018-08-26,115.44180211900752,50.32381223507731,183.46098913586218
2018-09-02,125.71059542288549,61.56086594722506,193.8888268403293
2018-09-09,130.47574751610068,64.80082709128511,192.37503799572605
2018-09-16,130.8371419044126,67.74259851426142,193.37297447306372
2018-09-23,134.54796431442233,68.29993953582947,198.89560678203375
2018-09-30,151.72127954749755,88.45494918389184,217.00134237695627
2018-10-07,189.09356705555635,125.52443631724074,252.3281178122145
2018-10-14,245.75633084827012,178.88545704344736,307.7819903038508
2018-10-21,311.9137713836428,244.24243992899628,379.23867201975577
